Title,Product Link,Image URL,Rating,Ratings & Reviews,Price,Original Price,Discount,Key Features,Exchange Offer,Bank Offer,Timestamp
ASUS Chromebook Intel Celeron Dual Core N4500 - (4 GB/128 GB EMMC Storage/Chrome OS) CX1500CKA-NJ0413 ...,https://www.flipkart.com/asus-chromebook-intel-celeron-dual-core-n4500-4-gb-128-gb-emmc-storage-chrome-os-cx1500cka-nj0413/p/itmc1d20ec9ce589?pid=COMGSHM3XZGQ5MGT&lid=LSTCOMGSHM3XZGQ5MGTME70B6&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=en_pWcAF8y6intqHWe6GiKPIeTmdSMPO-odrlRQGp8Ed-NIecMYG7di7oNjhsW3drDdnMGf-fDQWC5FxTkyGRvxXg1kFuKnWaINrJqv3pKVKuU%3D&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/n/3/cx1500cka-ej0275-chromebook-asus-original-imah2mw8nykenzdx.jpeg?q=70,3.8,"3,084 Ratings & 273 Reviews","₹16,990","₹32,990",48% off,"['Intel Celeron Dual Core Processor', '4 GB LPDDR4X RAM', 'Chrome Operating System', '39.62 cm (15.6 Inch) Display', '1 Year Onsite Warranty']",,Bank Offer,2025-07-21 19:09:29
Lenovo Yoga Slim 7 Qualcomm Snapdragon X Plus - (32 GB/1 TB SSD/Windows 11 Home) Yoga Slim 7 14Q8X9 Th...,https://www.flipkart.com/lenovo-yoga-slim-7-qualcomm-snapdragon-x-plus-32-gb-1-tb-ssd-windows-11-home-14q8x9-thin-light-laptop/p/itm54e8de57bb730?pid=COMH9C7XFM6KJGJK&lid=LSTCOMH9C7XFM6KJGJKPVFXIG&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_pWcAF8y6intqHWe6GiKPIeTmdSMPO-odrlRQGp8Ed-N3HnW118xdsEtEArPD8tITfZPWb_3QJX3pXWVOjJILRa8iqbiwhGf4dwbXVx7ZSks%3D&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/p/m/-original-imah3ytgpzvxyt7b.jpeg?q=70,,,"₹1,29,190","₹1,95,890",34% off,"['Qualcomm Snapdragon X Plus Processor', '32 GB LPDDR5X RAM', 'Windows 11 Home Operating System', '1 TB SSD', '36.83 cm (14.5 Inch) Touchscreen Display', 'Office Home 2024', '1 Year On-Site Warranty']",,Bank Offer,2025-07-21 19:09:29
HP 14R (2025) Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 14R G9 Thin and Light ...,https://www.flipkart.com/hp-14r-2025-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-g9-thin-light-laptop/p/itm590fc87e57789?pid=COMH9H2NSRNMBH9C&lid=LSTCOMH9H2NSRNMBH9CLSASG8&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMH9H2NSRNMBH9C.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/n/h/14r-g9-thin-and-light-laptop-hp-original-imah9h2nuak3qfk5.jpeg?q=70,4.3,40 Ratings & 4 Reviews,"₹35,690","₹82,990",56% off,"['Intel Core i3 Processor (13th Gen)', '16 GB DDR4 RAM', '64 bit Windows 11 Home Operating System', '512 GB SSD', '35.56 cm (14 inch) Display', 'Microsoft Office 2021, Windows 11 Home', '1 Year Onsite Warranty']",,Bank Offer,2025-07-21 19:09:30
HP 15 Intel Core 3 14th Gen 100U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd1253TU/ 15-fd1225TU Thin and...,https://www.flipkart.com/hp-15-intel-core-3-14th-gen-100u-8-gb-512-gb-ssd-windows-11-home-15-fd1253tu-15-fd1225tu-thin-light-laptop/p/itm09491ad4135b2?pid=COMHBFRJDZSGPFKZ&lid=LSTCOMHBFRJDZSGPFKZ5NBL2S&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMHBFRJDZSGPFKZ.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/r/r/j/-original-imahd7wz7j45dyhd.jpeg?q=70,4,102 Ratings & 8 Reviews,"₹36,990","₹50,843",27% off,"['Intel Core 3 Processor (14th Gen)', '8 GB DDR4 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'MS Office Home 2024 + MISC PC Game Pass DA 3M', '1 Year Onsite Warranty']","Upto 
₹25,000
 Off on Exchange",,2025-07-21 19:09:30
HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Lig...,https://www.flipkart.com/hp-255-g10-2024-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-250-thin-light-laptop/p/itmac0cd52f844ae?pid=COMH743DRRNQYDSH&lid=LSTCOMH743DRRNQYDSHDA4RDA&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMH743DRRNQYDSH.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/j/3/g/250-g10-laptop-hp-original-imah743dczyznxz9.jpeg?q=70,4,516 Ratings & 51 Reviews,"₹26,800","₹31,990",16% off,"['AMD Ryzen 3 Quad Core Processor', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', 'Windows 11', '1 Year Onsite Warranty']",,Bank Offer,2025-07-21 19:09:30
HP 15s AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 15s-eq2143au Thin and Light Lap...,https://www.flipkart.com/hp-15s-amd-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-15s-eq2143au-thin-light-laptop/p/itm59e288d010cef?pid=COMGAX8EEYFKCESS&lid=LSTCOMGAX8EEYFKCESSGYR1YX&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMGAX8EEYFKCESS.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/s/l/t/-original-imahcd9ngf4h2cjy.jpeg?q=70,4.2,"5,799 Ratings & 475 Reviews","₹33,540","₹48,999",31% off,"['AMD Ryzen 3 Quad Core Processor', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', 'Microsoft Office 2019 & Office 365, HP Documentation, HP BIOS recovery, HP Smart', '1 Year Onsite Warranty']",,Bank Offer,2025-07-21 19:09:30
Lenovo 100e Chromebook Gen 4 MediaTek MediaTek Kompanio 528 - (4 GB/64 GB EMMC Storage/Chrome OS) 82W0...,https://www.flipkart.com/lenovo-100e-chromebook-gen-4-mediatek-kompanio-528-4-gb-64-gb-emmc-storage-chrome-os-82w0001dha/p/itm37ef89935fcd5?pid=COMHA9FKZ7KSC3SZ&lid=LSTCOMHA9FKZ7KSC3SZ6YMQQQ&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=en_pWcAF8y6intqHWe6GiKPIeTmdSMPO-odrlRQGp8Ed-PuJkQF1WPvKY0t_3ZsKMoER4Op7HQ5oGMqJd5B81B-vh7zrT4gkWAkPCdPBnPCejA%3D&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/f/c/-original-imahd3zwben2yanx.jpeg?q=70,3.8,187 Ratings & 17 Reviews,"₹10,499","₹37,690",72% off,"['MediaTek MediaTek Kompanio 528 Processor', '4 GB LPDDR4X RAM', 'Chrome Operating System', '29.46 cm (11.6 Inch) Display', '1 Year Carry-in Warranty']","Upto 
₹9,400
 Off on Exchange",Bank Offer,2025-07-21 19:09:31
Lenovo Chromebook MediaTek Kompanio 520 - (4 GB/128 GB EMMC Storage/Chrome OS) 14M868 Chromebook,https://www.flipkart.com/lenovo-chromebook-mediatek-kompanio-520-4-gb-128-gb-emmc-storage-chrome-os-14m868/p/itm4dc67999fe3de?pid=COMGSYYSHRSUEGMG&lid=LSTCOMGSYYSHRSUEGMGL82DZU&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=en_pWcAF8y6intqHWe6GiKPIeTmdSMPO-odrlRQGp8Ed-PpIvGcr31BBOTgVBwlQKFCfpQgqC0aSdv8fB69XlaMKTaXAI15xQIPam6Hsx54Dy4%3D&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/6/g/-original-imagy3tzbj3xgvu4.jpeg?q=70,3.8,"2,202 Ratings & 197 Reviews","₹13,990","₹28,690",51% off,"['MediaTek Kompanio 520 Processor', '4 GB LPDDR4X RAM', 'Chrome Operating System', '35.56 cm (14 Inch) Display', '1 Year Carry-in Warranty']","Upto 
₹11,500
 Off on Exchange",Bank Offer,2025-07-21 19:09:31
HP (2024) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15-fd0061TU Thin and Light ...,https://www.flipkart.com/hp-2024-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15-fd0061tu-thin-light-laptop/p/itmae9a067923020?pid=COMH6AHAGBDZW429&lid=LSTCOMH6AHAGBDZW429RUFX9C&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMH6AHAGBDZW429.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/j/9/-original-imahbgw5pwf7f2gy.jpeg?q=70,3.9,169 Ratings & 10 Reviews,"₹33,990","₹45,995",26% off,"['Intel Core i3 Processor (12th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '1 Year Warranty']",,Bank Offer,2025-07-21 19:09:31
HP 15 G9 (2025) AMD Ryzen 3 Dual Core 3250U - (16 GB/512 GB SSD/Windows 11 Pro) 15 G9 Thin and Light L...,https://www.flipkart.com/hp-15-g9-2025-amd-ryzen-3-dual-core-3250u-16-gb-512-gb-ssd-windows-11-pro-thin-light-laptop/p/itma7df4d7d70080?pid=COMH9DVYSUGVCXZV&lid=LSTCOMH9DVYSUGVCXZVPVDYKB&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&spotlightTagId=default_TrendingId_6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMH9DVYSUGVCXZV.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/y/2/q/15-g9-thin-and-light-laptop-hp-original-imah9h2hecydjh2c.jpeg?q=70,4.1,144 Ratings & 10 Reviews,"₹28,990","₹52,990",45% off,"['AMD Ryzen 3 Dual Core Processor', '16 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', 'Microsoft Office 2021, Windows 11 Pro', '1 Year Onsite Warranty']",,Bank Offer,2025-07-21 19:09:32
HP Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0576TU Thin and Light Laptop,https://www.flipkart.com/hp-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-15-fd0576tu-thin-light-laptop/p/itmcd72f4dbb1a74?pid=COMHBFRJFZRPG8ZH&lid=LSTCOMHBFRJFZRPG8ZHHBO2GK&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMHBFRJFZRPG8ZH.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/s/p/-original-imahbngsvbzkyhqh.jpeg?q=70,4,21 Ratings & 1 Reviews,"₹53,500","₹71,000",24% off,"['Intel Core i5 Processor (13th Gen)', '16 GB DDR4 RAM', 'Windows 11 Home Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'MS Office Home 2024 + MISC PC Game Pass DA 3M', '1 Year Onsite Warranty']",,Bank Offer,2025-07-21 19:09:32
HP 240 G8 Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/Windows 11 Home) 240 G8 Business Laptop,https://www.flipkart.com/hp-240-g8-intel-core-i3-11th-gen-1115g4-8-gb-512-gb-ssd-windows-11-home-business-laptop/p/itm4bea4ae5c4254?pid=COMGKGWHFZUUG62U&lid=LSTCOMGKGWHFZUUG62UINL6LX&marketplace=FLIPKART&q=laptop+hp&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=77ef25a1-c1d1-4252-9701-31cee9a2f144.COMGKGWHFZUUG62U.SEARCH&ppt=sp&ppn=sp&ssid=49xrydndqo0000001753105162195&qH=afa4496eec6c609d,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/w/h/p/240-g8-business-laptop-hp-original-imah4yc47mnhps6h.jpeg?q=70,4.2,251 Ratings & 14 Reviews,"₹30,999","₹44,655",30% off,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', '32 bit Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 inch) Display', 'na', '1 year warranty']",,Bank Offer,2025-07-21 19:09:32
